case,seed,task_id,tickets,work_units_completed,dispatches,observed_share
case4,8,2,20,1387000,1387,0.138700
case4,8,3,30,2042000,2042,0.204200
case4,8,4,40,2675000,2675,0.267500
case4,8,5,50,3248000,3248,0.324800
case4,9,1,10,674000,674,0.067400
case4,9,2,20,1354000,1354,0.135400
case4,9,3,30,1973000,1973,0.197300
case4,9,4,40,2645000,2645,0.264500
case4,9,5,50,3354000,3354,0.335400
case4,10,1,10,594000,594,0.059400
case4,10,2,20,1353000,1353,0.135300
case4,10,3,30,2038000,2038,0.203800
case4,10,4,40,2688000,2688,0.268800
case4,10,5,50,3327000,3327,0.332700
case4,11,1,10,629000,629,0.062900
case4,11,2,20,1303000,1303,0.130300
case4,11,3,30,2084000,2084,0.208400
case4,11,4,40,2672000,2672,0.267200
case4,11,5,50,3312000,3312,0.331200
case4,12,1,10,740000,740,0.074000
case4,12,2,20,1313000,1313,0.131300
case4,12,3,30,2018000,2018,0.201800
case4,12,4,40,2686000,2686,0.268600
case4,12,5,50,3243000,3243,0.324300
case4,13,1,10,674000,674,0.067400
case4,13,2,20,1356000,1356,0.135600
case4,13,3,30,2012000,2012,0.201200
case4,13,4,40,2644000,2644,0.264400
case4,13,5,50,3314000,3314,0.331400
case4,14,1,10,698000,698,0.069800
case4,14,2,20,1374000,1374,0.137400
case4,14,3,30,2011000,2011,0.201100
case4,14,4,40,2688000,2688,0.268800
case4,14,5,50,3229000,3229,0.322900
case4,15,1,10,671000,671,0.067100
case4,15,2,20,1326000,1326,0.132600
case4,15,3,30,1988000,1988,0.198800
case4,15,4,40,2630000,2630,0.263000
case4,15,5,50,3385000,3385,0.338500
case4,16,1,10,685000,685,0.068500
case4,16,2,20,1376000,1376,0.137600
case4,16,3,30,1960000,1960,0.196000
case4,16,4,40,2679000,2679,0.267900
case4,16,5,50,3300000,3300,0.330000
case4,17,1,10,683000,683,0.068300
case4,17,2,20,1358000,1358,0.135800
case4,17,3,30,1998000,1998,0.199800
case4,17,4,40,2658000,2658,0.265800
case4,17,5,50,3303000,3303,0.330300
case4,18,1,10,679000,679,0.067900
case4,18,2,20,1316000,1316,0.131600
case4,18,3,30,2056000,2056,0.205600
case4,18,4,40,2621000,2621,0.262100
case4,18,5,50,3328000,3328,0.332800
case4,19,1,10,647000,647,0.064700
case4,19,2,20,1318000,1318,0.131800
case4,19,3,30,2000000,2000,0.200000
case4,19,4,40,2733000,2733,0.273300
case4,19,5,50,3302000,3302,0.330200
case4,20,1,10,623000,623,0.062300
case4,20,2,20,1377000,1377,0.137700
case4,20,3,30,1992000,1992,0.199200
case4,20,4,40,2740000,2740,0.274000
case4,20,5,50,3268000,3268,0.326800
case4,21,1,10,659000,659,0.065900
case4,21,2,20,1280000,1280,0.128000
case4,21,3,30,1976000,1976,0.197600
case4,21,4,40,2677000,2677,0.267700
case4,21,5,50,3408000,3408,0.340800
case4,22,1,10,684000,684,0.068400
case4,22,2,20,1386000,1386,0.138600
case4,22,3,30,1982000,1982,0.198200
case4,22,4,40,2648000,2648,0.264800
case4,22,5,50,3300000,3300,0.330000
case4,23,1,10,677000,677,0.067700
case4,23,2,20,1272000,1272,0.127200
case4,23,3,30,2028000,2028,0.202800
case4,23,4,40,2693000,2693,0.269300
case4,23,5,50,3330000,3330,0.333000
case4,24,1,10,712000,712,0.071200
case4,24,2,20,1404000,1404,0.140400
case4,24,3,30,1959000,1959,0.195900
case4,24,4,40,2715000,2715,0.271500
case4,24,5,50,3210000,3210,0.321000
case4,25,1,10,659000,659,0.065900
case4,25,2,20,1265000,1265,0.126500
case4,25,3,30,2132000,2132,0.213200
case4,25,4,40,2620000,2620,0.262000
case4,25,5,50,3324000,3324,0.332400
case4,26,1,10,646000,646,0.064600
case4,26,2,20,1290000,1290,0.129000
case4,26,3,30,1999000,1999,0.199900
case4,26,4,40,2655000,2655,0.265500
case4,26,5,50,3410000,3410,0.341000
case4,27,1,10,665000,665,0.066500
case4,27,2,20,1325000,1325,0.132500
case4,27,3,30,2045000,2045,0.204500
case4,27,4,40,2691000,2691,0.269100
case4,27,5,50,3274000,3274,0.327400
case4,28,1,10,686000,686,0.068600
case4,28,2,20,1321000,1321,0.132100
case4,28,3,30,2028000,2028,0.202800
case4,28,4,40,2623000,2623,0.262300
case4,28,5,50,3342000,3342,0.334200
case4,29,1,10,711000,711,0.071100
case4,29,2,20,1335000,1335,0.133500
case4,29,3,30,2006000,2006,0.200600
case4,29,4,40,2657000,2657,0.265700
case4,29,5,50,3291000,3291,0.329100
case4,30,1,10,643000,643,0.064300
case4,30,2,20,1278000,1278,0.127800
case4,30,3,30,2067000,2067,0.206700
case4,30,4,40,2659000,2659,0.265900
case4,30,5,50,3353000,3353,0.335300
