case,seed,dispatch,task_id,cumulative_share
case3,1,9100,5,0.196264
case3,1,9200,1,0.199022
case3,1,9200,2,0.199239
case3,1,9200,3,0.202609
case3,1,9200,4,0.202935
case3,1,9200,5,0.196196
case3,1,9300,1,0.198710
case3,1,9300,2,0.199140
case3,1,9300,3,0.202903
case3,1,9300,4,0.202796
case3,1,9300,5,0.196452
case3,1,9400,1,0.198617
case3,1,9400,2,0.199149
case3,1,9400,3,0.202979
case3,1,9400,4,0.202766
case3,1,9400,5,0.196489
case3,1,9500,1,0.198316
case3,1,9500,2,0.199474
case3,1,9500,3,0.203368
case3,1,9500,4,0.202316
case3,1,9500,5,0.196526
case3,1,9600,1,0.197917
case3,1,9600,2,0.199479
case3,1,9600,3,0.203437
case3,1,9600,4,0.202708
case3,1,9600,5,0.196458
case3,1,9700,1,0.197629
case3,1,9700,2,0.199278
case3,1,9700,3,0.203505
case3,1,9700,4,0.202577
case3,1,9700,5,0.197010
case3,1,9800,1,0.197857
case3,1,9800,2,0.199592
case3,1,9800,3,0.203163
case3,1,9800,4,0.202143
case3,1,9800,5,0.197245
case3,1,9900,1,0.197172
case3,1,9900,2,0.199596
case3,1,9900,3,0.203434
case3,1,9900,4,0.202121
case3,1,9900,5,0.197677
case3,1,10000,1,0.196800
case3,1,10000,2,0.199400
case3,1,10000,3,0.203100
case3,1,10000,4,0.202300
case3,1,10000,5,0.198400
case3,2,100,1,0.260000
case3,2,100,2,0.180000
case3,2,100,3,0.160000
case3,2,100,4,0.230000
case3,2,100,5,0.170000
case3,2,200,1,0.245000
case3,2,200,2,0.190000
case3,2,200,3,0.175000
case3,2,200,4,0.200000
case3,2,200,5,0.190000
case3,2,300,1,0.230000
case3,2,300,2,0.193333
case3,2,300,3,0.190000
case3,2,300,4,0.180000
case3,2,300,5,0.206667
case3,2,400,1,0.220000
case3,2,400,2,0.197500
case3,2,400,3,0.175000
case3,2,400,4,0.195000
case3,2,400,5,0.212500
case3,2,500,1,0.226000
case3,2,500,2,0.206000
case3,2,500,3,0.172000
case3,2,500,4,0.178000
case3,2,500,5,0.218000
case3,2,600,1,0.220000
case3,2,600,2,0.205000
case3,2,600,3,0.178333
case3,2,600,4,0.176667
case3,2,600,5,0.220000
case3,2,700,1,0.220000
case3,2,700,2,0.205714
case3,2,700,3,0.184286
case3,2,700,4,0.167143
case3,2,700,5,0.222857
case3,2,800,1,0.220000
case3,2,800,2,0.198750
case3,2,800,3,0.187500
case3,2,800,4,0.175000
case3,2,800,5,0.218750
case3,2,900,1,0.220000
case3,2,900,2,0.197778
case3,2,900,3,0.183333
case3,2,900,4,0.185556
case3,2,900,5,0.213333
case3,2,1000,1,0.215000
case3,2,1000,2,0.195000
case3,2,1000,3,0.181000
case3,2,1000,4,0.186000
case3,2,1000,5,0.223000
case3,2,1100,1,0.213636
case3,2,1100,2,0.191818
case3,2,1100,3,0.190000
